name,value,year,lastValue,rank
KDS,6182,6,4460,9
LOCO2,0,6,0,21
PASS,0,6,0,21
PAYZONE,16,6,16,18
OMIO,15795,6,11918,6
RAILEUROPE,5373,6,3343,11
RAILONLINE,0,6,0,21
RAILPLUS,0,6,0,21
REARDEN,368,6,264,16
VIRGINRED,1618,6,825,12
ROME2RIO,0,6,0,21
WANDERU,751,6,594,13
RailEurope Fr.,6427,6,4224,7
Egencia Fr.,283803,6,201198,2
Chiltern,86502,6,60214,3
Grand Central,17066,6,12079,5
EASTMID,52,6,52,17
TFWALES,6235,6,6235,8
BUSBUD,518,7,518,16
CERTIFY,0,7,0,22
CONCUR,11,7,11,20
EGENCIA,106339,7,78052,4
GETTHERE,2,7,0,21
HRG,623,7,512,14
IFAO,17,7,16,18
INNTEL,7990,7,6079,9
KDS,6982,7,6182,10
LOCO2,0,7,0,22
PASS,0,7,0,22
PAYZONE,16,7,16,19
OMIO,19525,7,15795,6
RAILEUROPE,8182,7,5373,8
RAILONLINE,0,7,0,22
RAILPLUS,0,7,0,22
REARDEN,521,7,368,15
VIRGINRED,2606,7,1618,12
ROME2RIO,0,7,0,22
WANDERU,1043,7,751,13
RailEurope Fr.,9404,7,6427,7
Egencia Fr.,341272,7,283803,2
Chiltern,113867,7,86502,3
Grand Central,23126,7,17066,5
EASTMID,52,7,52,17
TFWALES,6235,7,6235,11
BUSBUD,518,8,518,16
CERTIFY,2,8,0,22
CONCUR,12,8,11,20
EGENCIA,121130,8,106339,4
GETTHERE,4,8,2,21
HRG,764,8,623,14
IFAO,18,8,17,18
INNTEL,9818,8,7990,9
KDS,9647,8,6982,10
LOCO2,0,8,0,23
PASS,0,8,0,23
PAYZONE,16,8,16,19
OMIO,23106,8,19525,6
RAILEUROPE,11128,8,8182,8
RAILONLINE,0,8,0,23
RAILPLUS,0,8,0,23
REARDEN,665,8,521,15
VIRGINRED,3720,8,2606,12
ROME2RIO,0,8,0,23
WANDERU,2316,8,1043,13
RailEurope Fr.,12775,8,9404,7
Egencia Fr.,389084,8,341272,2
Chiltern,144374,8,113867,3
Grand Central,30656,8,23126,5
EASTMID,52,8,52,17
TFWALES,6235,8,6235,11
BUSBUD,518,9,518,16
CERTIFY,2,9,2,22
CONCUR,24,9,12,18
EGENCIA,143372,9,121130,4
GETTHERE,16,9,4,20
HRG,963,9,764,14
IFAO,24,9,18,18
INNTEL,13497,9,9818,10
KDS,15499,9,9647,8
LOCO2,0,9,0,23
PASS,0,9,0,23
PAYZONE,16,9,16,20
OMIO,27384,9,23106,6
RAILEUROPE,14866,9,11128,9
RAILONLINE,0,9,0,23
RAILPLUS,0,9,0,23
REARDEN,827,9,665,15
VIRGINRED,5083,9,3720,12
ROME2RIO,0,9,0,23
WANDERU,4472,9,2316,13
RailEurope Fr.,25101,9,12775,7
Egencia Fr.,485608,9,389084,2
Chiltern,183125,9,144374,3
Grand Central,39946,9,30656,5
EASTMID,52,9,52,17
TFWALES,6235,9,6235,11
BUSBUD,518,10,518,16
CERTIFY,2,10,2,22
CONCUR,31,10,24,18
EGENCIA,168756,10,143372,4
GETTHERE,22,10,16,20
HRG,1256,10,963,14
IFAO,24,10,24,19
INNTEL,17602,10,13497,9
KDS,24730,10,15499,8
LOCO2,0,10,0,23
PASS,0,10,0,23
PAYZONE,16,10,16,21
OMIO,32163,10,27384,7
RAILEUROPE,15697,10,14866,10
RAILONLINE,0,10,0,23
RAILPLUS,0,10,0,23
REARDEN,1069,10,827,15
VIRGINRED,6582,10,5083,11
ROME2RIO,0,10,0,23
WANDERU,6447,10,4472,12
RailEurope Fr.,34414,10,25101,6
Egencia Fr.,576751,10,485608,2
Chiltern,226210,10,183125,3
Grand Central,48441,10,39946,5
EASTMID,52,10,52,17
TFWALES,6235,10,6235,13
BUSBUD,1212,11,518,16
CERTIFY,2,11,2,22
CONCUR,39,11,31,18
EGENCIA,201928,11,168756,4
GETTHERE,37,11,22,19
HRG,1542,11,1256,14
IFAO,34,11,24,20
INNTEL,23025,11,17602,9
KDS,36104,11,24730,8
LOCO2,0,11,0,24
PASS,0,11,0,24
PAYZONE,25,11,16,21
OMIO,36745,11,32163,7
RAILEUROPE,16627,11,15697,10
RAILONLINE,1,11,0,23
RAILPLUS,0,11,0,24
REARDEN,1333,11,1069,15
VIRGINRED,8208,11,6582,11
ROME2RIO,0,11,0,24
WANDERU,7741,11,6447,12
RailEurope Fr.,38417,11,34414,6
Egencia Fr.,676401,11,576751,2
Chiltern,272027,11,226210,3
Grand Central,56664,11,48441,5
EASTMID,469,11,52,17
TFWALES,6546,11,6235,13
BUSBUD,2979,12,1212,14
CERTIFY,2,12,2,22
CONCUR,46,12,39,18
EGENCIA,213537,12,201928,4
GETTHERE,45,12,37,19
HRG,1701,12,1542,15
IFAO,34,12,34,20
INNTEL,25108,12,23025,10
KDS,38830,12,36104,8
LOCO2,0,12,0,24
PASS,0,12,0,24
PAYZONE,34,12,25,20
OMIO,41562,12,36745,6
RAILEUROPE,17478,12,16627,11
RAILONLINE,1,12,1,23
RAILPLUS,0,12,0,24
REARDEN,1529,12,1333,16
VIRGINRED,9368,12,8208,12
ROME2RIO,0,12,0,24
WANDERU,8590,12,7741,13
RailEurope Fr.,40429,12,38417,7
Egencia Fr.,725033,12,676401,2
Chiltern,299038,12,272027,3
Grand Central,62402,12,56664,5
EASTMID,768,12,469,17
TFWALES,28715,12,6546,9
