year,sex,name,n,prop
1910,F,AgencyFR,7318,0.017443496
1910,F,TOC3,1389,0.003310879
1910,F,CarrierIT2,316,0.000753231
1910,F,TOC1,278,0.000662653
1910,F,CarrierIT1,137,0.000326559
1910,F,AgencyUK,33,7.87E-05
1910,F,Search2,28,6.67E-05
1911,F,Search1,11802,0.026712719
1911,F,AgencyFR,8869,0.020074149
1911,F,TOC3,1456,0.003295519
1911,F,CarrierIT2,325,0.000735607
1911,F,TOC1,280,0.000633754
1911,F,CarrierIT1,130,0.000294243
1911,F,AgencyUK,36,8.15E-05
1911,F,Search2,21,4.75E-05
1912,F,Search1,16133,0.027497494
1912,F,AgencyFR,12645,0.021552459
1912,F,TOC3,2011,0.003427599
1912,F,CarrierIT2,504,0.00085903
1912,F,TOC1,310,0.000528372
1912,F,CarrierIT1,189,0.000322136
1912,F,Search2,36,6.14E-05
1912,F,AgencyUK,32,5.45E-05
1913,F,Search1,18889,0.028842395
1913,F,AgencyFR,14674,0.022406337
1913,F,TOC3,2239,0.003418822
1913,F,CarrierIT2,588,0.000897842
1913,F,TOC1,346,0.000528322
1913,F,CarrierIT1,238,0.000363412
1913,F,AgencyUK,42,6.41E-05
1913,F,Search2,25,3.82E-05
1914,F,Search1,23221,0.029149845
1914,F,AgencyFR,18782,0.023577468
1914,F,TOC3,2933,0.003681861
1914,F,CarrierIT2,656,0.000823492
1914,F,TOC1,375,0.000470746
1914,F,CarrierIT1,219,0.000274916
1914,F,AgencyUK,62,7.78E-05
1914,F,Search2,42,5.27E-05
1915,F,Search1,30866,0.030146052
1915,F,AgencyFR,25154,0.024567284
1915,F,TOC3,4182,0.004084455
1915,F,CarrierIT2,895,0.000874124
1915,F,TOC1,412,0.00040239
1915,F,CarrierIT1,290,0.000283236
1915,F,AgencyUK,106,0.000103528
1915,F,Search2,55,5.37E-05
1916,F,Search1,32661,0.030082674
1916,F,AgencyFR,27415,0.025250804
1916,F,TOC3,5136,0.004730554
1916,F,CarrierIT2,1078,0.0009929
1916,F,TOC1,421,0.000387765
1916,F,CarrierIT1,297,0.000273554
1916,F,AgencyUK,90,8.29E-05
1916,F,Search2,53,4.88E-05
1917,F,Search1,34249,0.030478721
1917,F,AgencyFR,28853,0.025676736
1917,F,TOC3,6639,0.00590815
1917,F,CarrierIT2,1441,0.001282368
1917,F,TOC1,445,0.000396012
1917,F,CarrierIT1,291,0.000258965
1917,F,AgencyUK,89,7.92E-05
1917,F,Search2,55,4.89E-05
1917,F,TOC2,5,4.45E-06
1918,F,Search1,36150,0.030065795
1918,F,AgencyFR,32034,0.026642536
1918,F,TOC3,8802,0.007320585
1918,F,CarrierIT2,1760,0.001463784
1918,F,TOC1,397,0.000330183
1918,F,CarrierIT1,322,0.000267806
1918,F,AgencyUK,92,7.65E-05
1918,F,Search2,56,4.66E-05
1919,F,Search1,33705,0.028693653
1919,F,AgencyFR,31734,0.027015707
1919,F,TOC3,10107,0.008604265
1919,F,CarrierIT2,2144,0.001825225
1919,F,TOC1,379,0.000322649
1919,F,CarrierIT1,282,0.000240072
1919,F,AgencyUK,70,5.96E-05
1919,F,Search2,40,3.41E-05
1920,F,AgencyFR,36645,0.029456496
1920,F,Search1,35098,0.028212965
1920,F,TOC3,14017,0.011267341
1920,F,CarrierIT2,2502,0.002011193
1920,F,TOC1,379,0.000304653
1920,F,CarrierIT1,349,0.000280538
1920,F,AgencyUK,82,6.59E-05
1920,F,Search2,43,3.46E-05
1921,F,AgencyFR,39083,0.030541205
1921,F,Search1,34819,0.027209125
1921,F,TOC3,17637,0.013782341
1921,F,CarrierIT2,3382,0.002642846
1921,F,TOC1,392,0.000306326
1921,F,CarrierIT1,367,0.00028679
1921,F,AgencyUK,94,7.35E-05
1921,F,Search2,48,3.75E-05
1922,F,AgencyFR,37711,0.030228507
1922,F,Search1,32507,0.026057068
1922,F,TOC3,20893,0.01674748
1922,F,CarrierIT2,3902,0.003127778
1922,F,CarrierIT1,365,0.000292578
1922,F,TOC1,341,0.00027334
1922,F,AgencyUK,71,5.69E-05
1922,F,Search2,40,3.21E-05
1923,F,AgencyFR,39045,0.031175744
1923,F,Search1,31492,0.025145
1923,F,TOC3,25990,0.020751891
1923,F,CarrierIT2,4800,0.003832592
1923,F,CarrierIT1,423,0.000337747
1923,F,TOC1,362,0.000289041
1923,F,AgencyUK,118,9.42E-05
1923,F,Search2,52,4.15E-05
1924,F,AgencyFR,39996,0.030867875
1924,F,Search1,31193,0.024073948
1924,F,TOC3,30602,0.02361783
1924,F,CarrierIT2,6958,0.005370004
1924,F,CarrierIT1,454,0.000350385
1924,F,TOC1,341,0.000263175
1924,F,AgencyUK,125,9.65E-05
1924,F,Search2,41,3.16E-05
1925,F,AgencyFR,38572,0.030538872
1925,F,TOC3,32817,0.025982427
1925,F,Search1,29168,0.023093379
1925,F,CarrierIT2,8095,0.006409109
1925,F,CarrierIT1,438,0.000346781
1925,F,TOC1,310,0.000245438
1925,F,AgencyUK,82,6.49E-05
1925,F,Search2,34,2.69E-05
1926,F,AgencyFR,36614,0.029764648
1926,F,TOC3,32959,0.026793386
1926,F,Search1,26884,0.021854832
1926,F,CarrierIT2,8590,0.006983076
1926,F,CarrierIT1,479,0.000389394
1926,F,TOC1,310,0.000252009
1926,F,AgencyUK,116,9.43E-05
1926,F,Search2,35,2.85E-05
1927,F,AgencyFR,35987,0.0291075
1927,F,TOC3,35422,0.028650509
1927,F,Search1,25316,0.020476435
1927,F,CarrierIT2,10553,0.008535623
1927,F,CarrierIT1,516,0.000417358
1927,F,TOC1,234,0.000189267
1927,F,AgencyUK,91,7.36E-05
1927,F,Search2,39,3.15E-05
1928,F,TOC3,36078,0.030181071
1928,F,AgencyFR,33728,0.028215178
1928,F,Search1,22936,0.019187124
1928,F,CarrierIT2,12332,0.010316342
1928,F,CarrierIT1,554,0.000463449
1928,F,TOC1,247,0.000206628
1928,F,AgencyUK,130,0.000108752
1928,F,Search2,36,3.01E-05
1929,F,TOC3,36669,0.031680002
1929,F,AgencyFR,31477,0.027194399
1929,F,Search1,20983,0.018128159
1929,F,CarrierIT2,13626,0.011772115
1929,F,CarrierIT1,509,0.000439748
1929,F,TOC1,209,0.000180565
1929,F,AgencyUK,161,0.000139095
1929,F,Search2,42,3.63E-05
1930,F,TOC3,38239,0.032785353
1930,F,AgencyFR,30404,0.026067781
1930,F,Search1,19914,0.017073865
1930,F,CarrierIT2,15749,0.013502877
1930,F,CarrierIT1,493,0.000422688
1930,F,TOC1,196,0.000168046
1930,F,AgencyUK,165,0.000141468
1930,F,Search2,38,3.26E-05
1931,F,TOC3,36102,0.032714036
1931,F,AgencyFR,26521,0.024032158
1931,F,Search1,17657,0.015999993
1931,F,CarrierIT2,16468,0.014922574
1931,F,CarrierIT1,534,0.000483887
1931,F,TOC1,209,0.000189387
1931,F,AgencyUK,158,0.000143173
1931,F,Search2,39,3.53E-05
1932,F,TOC3,34411,0.031108323
1932,F,AgencyFR,24968,0.022571637
1932,F,CarrierIT2,17991,0.016264271
1932,F,Search1,16375,0.014803371
1932,F,CarrierIT1,774,0.000699714
1932,F,TOC1,213,0.000192557
1932,F,AgencyUK,208,0.000188037
1932,F,Search2,44,3.98E-05
1933,F,TOC3,31526,0.030143499
1933,F,AgencyFR,22050,0.021083047
1933,F,CarrierIT2,18625,0.017808243
1933,F,Search1,14645,0.014002777
1933,F,CarrierIT1,786,0.000751532
1933,F,AgencyUK,243,0.000232344
1933,F,TOC1,199,0.000190273
1933,F,Search2,43,4.11E-05
1934,F,TOC3,31078,0.028718117
1934,F,AgencyFR,21280,0.019664121
1934,F,CarrierIT2,20847,0.019264
1934,F,Search1,14099,0.013028404
1934,F,CarrierIT1,1001,0.00092499
1934,F,AgencyUK,280,0.000258738
1934,F,TOC1,189,0.000174648
1934,F,Search2,46,4.25E-05
1935,F,TOC3,28673,0.026385945
1935,F,CarrierIT2,22876,0.021051334
1935,F,AgencyFR,19400,0.017852591
1935,F,Search1,12778,0.011758784
1935,F,CarrierIT1,1197,0.001101523
1935,F,AgencyUK,279,0.000256746
1935,F,TOC1,211,0.00019417
1935,F,Search2,47,4.33E-05
1936,F,TOC3,25863,0.024004366
1936,F,CarrierIT2,23912,0.022193574
1936,F,AgencyFR,17668,0.016398296
1936,F,Search1,12232,0.011352952
1936,F,CarrierIT1,2439,0.002263722
1936,F,AgencyUK,299,0.000277512
1936,F,TOC1,192,0.000178202
1936,F,Search2,43,3.99E-05
1937,F,CarrierIT2,26837,0.024359117
1937,F,TOC3,25328,0.022989445
1937,F,AgencyFR,16571,0.015040986
1937,F,Search1,11452,0.010394627
1937,F,CarrierIT1,4380,0.003975591
1937,F,AgencyUK,323,0.000293177
1937,F,TOC1,176,0.00015975
1937,F,Search2,72,6.54E-05
1938,F,CarrierIT2,27555,0.024142907
1938,F,TOC3,25502,0.022344127
1938,F,AgencyFR,16348,0.014323653
1938,F,Search1,10833,0.009491566
1938,F,CarrierIT1,7047,0.006174381
1938,F,AgencyUK,410,0.00035923
1938,F,TOC1,192,0.000168225
1938,F,Search2,50,4.38E-05
1938,F,TOC2,7,6.13E-06
1939,F,CarrierIT2,29704,0.026194165
1939,F,TOC3,23639,0.020845808
1939,F,AgencyFR,15170,0.013377508
1939,F,CarrierIT1,10714,0.00944803
1939,F,Search1,10417,0.009186124
1939,F,AgencyUK,443,0.000390655
1939,F,TOC1,185,0.00016314
1939,F,Search2,77,6.79E-05
1940,F,CarrierIT2,32661,0.027650413
1940,F,TOC3,22074,0.018687585
1940,F,CarrierIT1,18368,0.01555013
1940,F,AgencyFR,14874,0.012592151
1940,F,Search1,10201,0.008636045
1940,F,AgencyUK,469,0.00039705
1940,F,TOC1,218,0.000184556
1940,F,Search2,61,5.16E-05
1941,F,CarrierIT2,36901,0.029620134
1941,F,CarrierIT1,23715,0.019035839
1941,F,TOC3,20900,0.016776261
1941,F,AgencyFR,14561,0.011687997
1941,F,Search1,9889,0.00793782
1941,F,AgencyUK,608,0.000488037
1941,F,TOC1,223,0.000179
1941,F,Search2,81,6.50E-05
1941,F,TOC2,6,4.82E-06
1942,F,CarrierIT2,39454,0.028376721
1942,F,CarrierIT1,31611,0.022735756
1942,F,TOC3,21654,0.015574328
1942,F,AgencyFR,15032,0.010811549
1942,F,Search1,10013,0.007201706
1942,F,AgencyUK,676,0.000486203
1942,F,TOC1,295,0.000212175
1942,F,Search2,127,9.13E-05
1942,F,TOC2,8,5.75E-06
1943,F,CarrierIT2,39620,0.027605389
1943,F,CarrierIT1,38437,0.026781129
1943,F,TOC3,21595,0.0150464
1943,F,AgencyFR,14785,0.010301506
1943,F,Search1,9799,0.006827491
1943,F,AgencyUK,788,0.000549042
1943,F,TOC1,284,0.000197878
1943,F,Search2,121,8.43E-05
1943,F,TOC2,10,6.97E-06
1944,F,CarrierIT1,38411,0.028110498
1944,F,CarrierIT2,36872,0.026984205
1944,F,TOC3,19757,0.014458856
1944,F,AgencyFR,13378,0.009790483
1944,F,Search1,8693,0.006361838
1944,F,AgencyUK,1293,0.000946262
1944,F,TOC1,238,0.000174177
1944,F,Search2,124,9.07E-05
1944,F,TOC2,12,8.78E-06
1945,F,CarrierIT1,41464,0.030804182
1945,F,CarrierIT2,35840,0.026626034
1945,F,TOC3,18383,0.013656986
1945,F,AgencyFR,12328,0.009158643
1945,F,Search1,8300,0.006166185
1945,F,AgencyUK,1464,0.001087626
1945,F,TOC1,280,0.000208016
1945,F,Search2,132,9.81E-05
1945,F,TOC2,10,7.43E-06
1946,F,CarrierIT1,52708,0.032680423
1946,F,CarrierIT2,46295,0.028704185
1946,F,TOC3,19714,0.012223227
1946,F,AgencyFR,12796,0.007933875
1946,F,Search1,8852,0.005488486
1946,F,AgencyUK,2470,0.001531469
1946,F,TOC1,274,0.000169888
1946,F,Search2,240,0.000148807
1946,F,TOC2,7,4.34E-06
1947,F,CarrierIT1,99680,0.054836089
1947,F,CarrierIT2,51274,0.028206918
1947,F,TOC3,18962,0.0104314
1947,F,AgencyFR,12751,0.007014596
1947,F,Search1,8978,0.004938989
1947,F,AgencyUK,5838,0.003211608
1947,F,Search2,430,0.000236552
1947,F,TOC1,310,0.000170538
1947,F,TOC2,11,6.05E-06
1948,F,CarrierIT1,96211,0.055211591
1948,F,CarrierIT2,46135,0.026475005
1948,F,TOC3,16622,0.009538692
1948,F,AgencyFR,11326,0.006499532
1948,F,AgencyUK,11246,0.006453623
1948,F,Search1,8305,0.004765903
1948,F,Search2,482,0.0002766
1948,F,TOC1,306,0.000175601
1948,F,TOC2,13,7.46E-06
1949,F,CarrierIT1,91010,0.051842809
1949,F,CarrierIT2,46337,0.026395344
1949,F,AgencyUK,19208,0.010941618
1949,F,TOC3,14946,0.008513819
1949,F,AgencyFR,10406,0.005927659
1949,F,Search1,7709,0.004391344
1949,F,Search2,406,0.000231273
1949,F,TOC1,333,0.00018969
1949,F,TOC2,11,6.27E-06
1950,F,CarrierIT1,80439,0.045731962
1950,F,CarrierIT2,47952,0.027262137
1950,F,AgencyUK,29073,0.016528865
1950,F,TOC3,13614,0.007739964
1950,F,AgencyFR,9555,0.005432301
1950,F,Search1,7060,0.00401382
1950,F,Search2,402,0.000228549
1950,F,TOC1,379,0.000215473
1950,F,TOC2,15,8.53E-06
1951,F,CarrierIT1,73947,0.040043495
1951,F,CarrierIT2,56433,0.030559381
1951,F,AgencyUK,42045,0.022768046
1951,F,TOC3,12820,0.006942237
1951,F,AgencyFR,9082,0.00491805
1951,F,Search1,6945,0.00376083
1951,F,Search2,466,0.000252347
1951,F,TOC1,409,0.00022148
1951,F,TOC2,15,8.12E-06
1952,F,CarrierIT1,67092,0.035271759
1952,F,CarrierIT2,53090,0.027910596
1952,F,AgencyUK,49809,0.026185701
1952,F,TOC3,12125,0.006374383
1952,F,AgencyFR,8608,0.004525417
1952,F,Search1,6470,0.003401423
1952,F,Search2,452,0.000237626
1952,F,TOC1,418,0.000219752
1952,F,TOC2,24,1.26E-05
1953,F,CarrierIT1,61264,0.031757584
1953,F,AgencyUK,52196,0.027056981
1953,F,CarrierIT2,51007,0.026440635
1953,F,TOC3,11367,0.005892342
1953,F,AgencyFR,8154,0.004226811
1953,F,Search1,6120,0.003172441
1953,F,Search2,495,0.000256594
1953,F,TOC1,428,0.000221864
1953,F,TOC2,15,7.78E-06
1954,F,CarrierIT1,55371,0.027815789
1954,F,AgencyUK,54674,0.027465649
1954,F,CarrierIT2,49133,0.024682111
1954,F,TOC3,10615,0.005332477
1954,F,AgencyFR,7791,0.003913832
1954,F,Search1,5940,0.002983977
1954,F,TOC1,428,0.000215007
1954,F,Search2,424,0.000212998
1954,F,TOC2,21,1.05E-05
1955,F,AgencyUK,52314,0.026099932
1955,F,CarrierIT1,51279,0.025583562
1955,F,CarrierIT2,46210,0.023054591
1955,F,TOC3,9928,0.00495317
1955,F,AgencyFR,7241,0.003612601
1955,F,Search1,5596,0.002791896
1955,F,TOC1,452,0.000225507
1955,F,Search2,386,0.000192579
1955,F,TOC2,8,3.99E-06
1956,F,CarrierIT1,48067,0.023341087
1956,F,AgencyUK,47829,0.023225515
1956,F,CarrierIT2,43332,0.021041795
1956,F,TOC3,9213,0.004473785
1956,F,AgencyFR,6862,0.003332152
1956,F,Search1,5279,0.002563455
1956,F,TOC1,643,0.000312237
1956,F,Search2,406,0.000197152
1956,F,TOC2,25,1.21E-05
1957,F,CarrierIT1,44495,0.021213187
1957,F,AgencyUK,40065,0.019101165
1957,F,CarrierIT2,39277,0.018725483
1957,F,TOC3,8474,0.004040017
1957,F,AgencyFR,6401,0.003051705
1957,F,Search1,5015,0.002390923
1957,F,TOC1,667,0.000317995
1957,F,Search2,476,0.000226935
1957,F,TOC2,27,1.29E-05
1958,F,CarrierIT1,41898,0.02028948
1958,F,CarrierIT2,37932,0.018368909
1958,F,AgencyUK,32936,0.015949552
1958,F,TOC3,7709,0.003733152
1958,F,AgencyFR,5539,0.00268231
1958,F,Search1,4763,0.002306525
1958,F,TOC1,796,0.00038547
1958,F,Search2,529,0.000256173
1958,F,TOC2,38,1.84E-05
1959,F,CarrierIT1,40409,0.019441639
1959,F,CarrierIT2,35221,0.016945581
1959,F,AgencyUK,29552,0.014218103
1959,F,TOC3,7317,0.003520366
1959,F,AgencyFR,5238,0.002520114
1959,F,Search1,4378,0.00210635
1959,F,TOC1,858,0.000412802
1959,F,Search2,523,0.000251627
1959,F,TOC2,37,1.78E-05
1960,F,CarrierIT1,37314,0.017940027
1960,F,CarrierIT2,32107,0.015436577
1960,F,AgencyUK,25269,0.012148967
1960,F,TOC3,6503,0.003126548
1960,F,AgencyFR,5077,0.002440948
1960,F,Search1,4069,0.001956316
1960,F,TOC1,977,0.000469727
1960,F,Search2,560,0.00026924
1960,F,TOC2,57,2.74E-05
1961,F,CarrierIT1,35574,0.017133981
1961,F,CarrierIT2,28867,0.013903599
1961,F,AgencyUK,24092,0.011603752
1961,F,TOC3,5580,0.00268757
1961,F,AgencyFR,4726,0.002276247
1961,F,Search1,3855,0.001856735
1961,F,TOC1,1057,0.000509097
1961,F,Search2,669,0.000322219
1961,F,TOC2,80,3.85E-05
1962,F,CarrierIT1,31462,0.015521322
1962,F,CarrierIT2,26538,0.013092138
1962,F,AgencyUK,22893,0.01129393
1962,F,TOC3,4765,0.002350744
1962,F,AgencyFR,4075,0.002010342
1962,F,Search1,3587,0.001769595
1962,F,TOC1,948,0.000467682
1962,F,Search2,867,0.000427722
1962,F,TOC2,95,4.69E-05
1963,F,CarrierIT1,27715,0.013941918
1963,F,CarrierIT2,25363,0.012758754
1963,F,AgencyUK,21062,0.010595154
1963,F,TOC3,4154,0.002089653
1963,F,AgencyFR,3791,0.001907047
1963,F,Search1,3340,0.001680173
1963,F,Search2,1121,0.000563915
1963,F,TOC1,1035,0.000520653
1963,F,TOC2,108,5.43E-05
1964,F,CarrierIT2,26087,0.013328858
1964,F,CarrierIT1,23633,0.012075014
1964,F,AgencyUK,19306,0.009864182
1964,F,TOC3,4067,0.002077988
1964,F,AgencyFR,3535,0.001806168
1964,F,Search1,3095,0.001581355
1964,F,TOC1,1275,0.000651447
1964,F,Search2,1172,0.00059882
1964,F,TOC2,180,9.20E-05
1965,F,CarrierIT2,23551,0.012888118
1965,F,CarrierIT1,19339,0.010583131
1965,F,AgencyUK,17083,0.009348551
1965,F,TOC3,3565,0.001950921
1965,F,AgencyFR,2960,0.001619839
1965,F,Search1,2804,0.001534469
1965,F,TOC1,1650,0.000902951
1965,F,Search2,1529,0.000836734
1965,F,TOC2,218,0.000119299
1966,F,CarrierIT2,20115,0.011457915
